1	0.80 	101
2	0.80 	101
3	0.80 	101
4	0.80 	101
5	0.80 	101
6	0.80 	101
7	0.80 	101
8	0.80 	101
9	0.80 	101
10	0.80 	101
11	0.82 	98
12	0.89 	95
13	0.97 	92
14	1.04 	89
15	1.12 	86
16	1.19 	83
17	1.26 	80
18	1.34 	77
19	1.41 	74
20	1.49 	71
21	1.56 	69
22	1.64 	67
23	1.71 	65
24	1.79 	63
25	1.86 	61
26	1.93 	59
27	2.01 	57
28	2.08 	55
29	2.16 	53
30	2.23 	51
31	2.31 	50
32	2.38 	49
33	2.46 	48
34	2.53 	47
35	2.60 	46
36	2.68 	45
37	2.75 	44
38	2.83 	43
39	2.90 	42
40	2.98 	41
41	3.05 	40
42	3.12 	40
43	3.20 	39
44	3.27 	39
45	3.35 	38
46	3.42 	38
47	3.50 	37
48	3.57 	37
49	3.65 	36
50	3.72 	36
51	3.79 	35
52	3.87 	35
53	3.94 	34
54	4.02 	34
55	4.09 	33
56	4.17 	33
57	4.24 	32
58	4.32 	32
59	4.39 	31
60	4.46 	31
61	4.54 	30
62	4.61 	30
63	4.69 	29
64	4.76 	29
65	4.84 	28
66	4.91 	28
67	4.98 	27
68	5.06 	27
69	5.13 	26
70	5.21 	26
71	5.28 	25
72	5.36 	25
73	5.43 	24
74	5.51 	24
75	5.58 	23
76	5.65 	23
77	5.73 	22
78	5.80 	22
79	5.88 	21
80	5.95 	21
81	6.03 	20
82	6.10 	20
83	6.18 	19
84	6.25 	18
85	6.18 	17
86	6.20 	16
87	6.22 	15
88	6.24 	14
89	6.26 	13
90	6.28 	12
91	6.30 	11
92	6.32 	10
93	6.34 	9
94	6.36 	8
95	6.38 	7
96	6.40 	6
97	6.42 	5
98	6.44 	4
99	6.46 	3
100	6.48 	2
