1	0.8	43
2	0.8	43
3	0.8	43
4	0.8	43
5	0.8	43
6	0.8	43
7	0.8	43
8	0.8	43
9	0.8	43
10	0.8	43
11	0.88	42
12	0.96	41
13	1.04	40
14	1.12	39
15	1.2	38
16	1.28	38
17	1.36	36
18	1.44	35
19	1.52	33
20	1.6	32
21	1.68	32
22	1.76	30
23	1.84	29
24	1.92	28
25	2	27
26	2.08	25
27	2.16	23
28	2.24	23
29	2.32	23
30	2.4	21
31	2.48	21
32	2.56	21
33	2.64	20
34	2.72	20
35	2.8	19
36	2.88	18
37	2.96	18
38	3.04	18
39	3.12	18
40	3.2	18
41	3.28	17
42	3.36	17
43	3.44	16
44	3.52	16
45	3.6	16
46	3.68	15
47	3.76	15
48	3.84	15
49	3.92	14
50	4	13
51	4.08	13
52	4.16	13
53	4.24	13
54	4.32	13
55	4.4	13
56	4.48	12
57	4.56	12
58	4.64	11
59	4.72	11
60	4.8	11
61	4.88	10
62	4.96	10
63	5.04	10
64	5.12	9
65	5.2	8
66	5.28	8
67	5.36	8
68	5.44	7
69	5.52	7
70	5.6	7
71	5.68	7
72	5.76	6
73	5.84	6
74	5.92	6
75	6	6
76	6.08	6
77	6.16	6
78	6.24	6
79	6.32	6
80	6.4	5
81	6.48	4
82	6.56	4
83	6.64	4
84	6.72	4
85	6.8	4
86	6.88	4
87	6.96	4
88	7.04	4
89	7.12	4
90	7.2	4
91	7.28	4
92	7.36	3
93	7.44	3
94	7.52	3
95	7.6	2
96	7.68	2
97	7.76	2
98	7.84	2
99	7.92	2
100	8	2
