1	0.8	67
2	0.8	67
3	0.8	67
4	0.8	67
5	0.8	67
6	0.8	67
7	0.8	67
8	0.8	67
9	0.8	67
10	0.8	67
11	0.88	65
12	0.96	64
13	1.04	63
14	1.12	61
15	1.2	60
16	1.28	59
17	1.36	56
18	1.44	54
19	1.52	52
20	1.6	50
21	1.68	49
22	1.76	47
23	1.84	45
24	1.92	43
25	2	41
26	2.08	39
27	2.16	37
28	2.24	36
29	2.32	35
30	2.4	33
31	2.48	33
32	2.56	32
33	2.64	31
34	2.72	31
35	2.8	30
36	2.88	29
37	2.96	29
38	3.04	28
39	3.12	27
40	3.2	27
41	3.28	26
42	3.36	26
43	3.44	25
44	3.52	25
45	3.6	25
46	3.68	24
47	3.76	23
48	3.84	23
49	3.92	22
50	4	21
51	4.08	21
52	4.16	20
53	4.24	19
54	4.32	19
55	4.4	19
56	4.48	18
57	4.56	18
58	4.64	17
59	4.72	17
60	4.8	17
61	4.88	16
62	4.96	15
63	5.04	15
64	5.12	14
65	5.2	13
66	5.28	13
67	5.36	12
68	5.44	11
69	5.52	11
70	5.6	10
71	5.68	10
72	5.76	9
73	5.84	9
74	5.92	9
75	6	9
76	6.08	9
77	6.16	9
78	6.24	9
79	6.32	9
80	6.4	8
81	6.48	7
82	6.56	7
83	6.64	7
84	6.72	7
85	6.8	7
86	6.88	7
87	6.96	7
88	7.04	7
89	7.12	7
90	7.2	7
91	7.28	6
92	7.36	5
93	7.44	5
94	7.52	4
95	7.6	3
96	7.68	3
97	7.76	3
98	7.84	3
99	7.92	3
100	8	3
